순위,티커,종목명,티어,종가,등락률,시가총액,거래량,거래대금,PER,ROE,외국인비율,자동점수,점수상세
32,069500,KODEX 200,?,141395,4.88,30880700000000.0,22561534,3190088099930,,,22.68,,
33,010130,고려아연,C,1375000,0.15,28700300000000.0,23180,31872500000,28.67,8.48,28.02,59.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 7, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 3}"
34,009540,HD한국조선해양,C,404500,-4.37,28627700000000.0,218154,88243293000,11.37,17.78,33.91,69.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 8}"
35,018260,삼성에스디에스,?,362000,21.07,28010800000000.0,2876979,1041466398000,43.74,7.89,18.46,63.0,"{""사업이해도"": 5, ""매출성장성"": 5, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
36,042700,한미반도체,C,293000,3.9,27926500000000.0,1166482,341779226000,156.94,34.76,6.0,72.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 15, ""현금흐름"": 6, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 1}"
37,000810,삼성화재,?,604000,6.15,26967100000000.0,174446,105365384000,14.84,10.97,58.06,63.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 10, ""ROE"": 12, ""현금흐름"": 11, ""부채안정성"": 2, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 8}"
38,307950,현대오토에버,?,938000,0.75,25723700000000.0,748576,702164288000,142.27,10.27,1.89,65.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 7, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
39,051910,LG화학,C,363500,-0.95,25660300000000.0,535724,194735674000,-13.81,-5.5,36.47,38.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 0}"
40,003550,LG,B,165800,13.1,25569900000000.0,5334354,884435893200,52.9,2.64,34.79,52.0,"{""사업이해도"": 5, ""매출성장성"": 2, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 7, ""주주환원"": 5, ""밸류에이션"": 1}"
41,015760,한국전력,D,38650,-0.64,24811900000000.0,2173549,84007668850,2.85,19.4,20.92,53.0,"{""사업이해도"": 5, ""매출성장성"": 8, ""영업이익안정성"": 4, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 2, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 10}"
42,010140,삼성중공업,C,27550,-1.43,24244000000000.0,5148142,141831312100,43.66,13.74,30.1,52.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 2, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
43,017670,SK텔레콤,A,112200,11.53,24099400000000.0,3634772,407821418400,65.77,3.33,39.26,51.0,"{""사업이해도"": 5, ""매출성장성"": 2, ""영업이익안정성"": 7, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
44,064350,현대로템,C,213000,6.23,23247300000000.0,935835,199332855000,28.6,30.05,36.11,72.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 2, ""해자"": 7, ""주주환원"": 5, ""밸류에이션"": 3}"
45,267250,HD현대,?,281000,1.26,22197100000000.0,190536,53540616000,14.56,10.25,26.45,67.0,"{""사업이해도"": 5, ""매출성장성"": 8, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 8}"
46,316140,우리금융지주,A,29400,-1.01,21581800000000.0,2327102,68416798800,6.97,8.91,45.19,49.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 11, ""부채안정성"": 0, ""해자"": 0, ""주주환원"": 5, ""밸류에이션"": 10}"
47,003670,포스코퓨처엠,D,231000,-5.91,20546600000000.0,368520,85128120000,-1400.0,0.92,9.46,23.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 0, ""부채안정성"": 4, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 0}"
48,096770,SK이노베이션,D,116200,-2.52,19643900000000.0,551991,64141354200,-8.82,-14.42,14.51,43.0,"{""사업이해도"": 5, ""매출성장성"": 5, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 0}"
49,272210,한화시스템,C,102000,-2.86,19269800000000.0,932135,95077770000,120.85,6.6,9.1,52.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 12, ""현금흐름"": 3, ""부채안정성"": 4, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 1}"
